"","taxa","ITS.Copies"
"786","Epichloe_gansuensis_E7080",1
"788","Epichloe_glyceriae",2
"789","Epichloe_hybrida",8
"790","Epichloe_sylvatica",1
"792","Epichloe_uncinata",1
"793","Epicoccum_latusicollum",1
"794","Epicoccum_nigrum",2
"795","Epicoccum_sorghinum",1
"798","Eremothecium_cymbalariae",2
"799","Eremothecium_gossypii",39
"800","Eremothecium_sinecaudum",31
"803","Erythrobasidium_yunnanense",1
"804","Escovopsis_weberi",1
"806","Eutypa_lata",1
"807","Evansstolkia_leycettana",1
"808","Evernia_prunastri",1
"812","Exophiala_calicioides",1
"813","Exophiala_dermatitidis",1
"814","Exophiala_lecanii-corni",7
"819","Exophiala_spinifera",7
"821","Exserohilum_turcicum",2
"824","Fibroporia_radiculosa",1
"825","Filobasidium_floriforme",1
"828","Flammula_alnicola",2
"830","Flammulina_velutipes",8
"831","Floccularia_luteovirens",11
"832","Fomitiporia_mediterranea",1
"833","Fomitopsis_palustris",6
"834","Fomitopsis_pinicola",3
"835","Fomitopsis_rosea",1
"836","Fonsecaea_erecta",2
"837","Fonsecaea_monophora",1
"838","Fonsecaea_multimorphosa",1
"839","Fonsecaea_nubica",1
"841","Fonsecaea_pugnacius",1
"842","Fragosphaeria_purpurea",22
"844","Friedmanniomyces_simplex",2
"846","Furculomyces_boomerangus",1
"847","Fusarium_acaciae-mearnsii",1
"848","Fusarium_acuminatum",1
"849","Fusarium_acutatum",1
"850","Fusarium_aethiopicum",1
"851","Fusarium_agapanthi",1
"852","Fusarium_albidum",1
"853","Fusarium_albosuccineum",1
"854","Fusarium_algeriense",1
"856","Fusarium_anguioides",1
"857","Fusarium_annulatum",1
"858","Fusarium_anthophilum",1
"859","Fusarium_armeniacum",1
"860","Fusarium_asiaticum",1
"861","Fusarium_austroafricanum",1
"862","Fusarium_austroamericanum",1
"863","Fusarium_avenaceum",1
"864","Fusarium_aywerte",1
"865","Fusarium_azukicola",1
"866","Fusarium_babinda",1
"868","Fusarium_begoniae",1
"869","Fusarium_beomiforme",1
"870","Fusarium_boothii",1
"872","Fusarium_brasilicum",1
"874","Fusarium_brevicatenulatum",1
"875","Fusarium_buharicum",1
"876","Fusarium_bulbicola",1
"878","Fusarium_buxicola",1
"879","Fusarium_caatingaense",1
"880","Fusarium_camptoceras",1
"881","Fusarium_cerealis",1
"882","Fusarium_chlamydosporum",1
"884","Fusarium_citri",1
"885","Fusarium_clavum",1
"886","Fusarium_coffeatum",1
"887","Fusarium_coicis",1
"888","Fusarium_commune",1
"889","Fusarium_concentricum",1
"890","Fusarium_concolor",1
"891","Fusarium_continuum",1
"892","Fusarium_cortaderiae",1
"893","Fusarium_culmorum",2
"894","Fusarium_cuneirostrum",1
"895","Fusarium_cyanostomum",1
"896","Fusarium_decemcellulare",1
"897","Fusarium_denticulatum",1
"898","Fusarium_dimerum",1
"900","Fusarium_domesticum",1
"901","Fusarium_equiseti",1
"902","Fusarium_euwallaceae",1
"903","Fusarium_falciforme",1
"904","Fusarium_flagelliforme",1
"906","Fusarium_foetens",1
"907","Fusarium_fracticaudum",1
"908","Fusarium_fujikuroi",1
"909","Fusarium_gaditjirri",1
"911","Fusarium_globosum",1
"912","Fusarium_goolgardi",1
"913","Fusarium_graminearum",1
"914","Fusarium_graminum",1
"916","Fusarium_hainanense",1
"917","Fusarium_heterosporum",1
"918","Fusarium_hostae",1
"919","Fusarium_humuli",1
"920","Fusarium_illudens",1
"921","Fusarium_incarnatum",1
"922","Fusarium_irregulare",1
"923","Fusarium_kuroshium",1
"924","Fusarium_kyushuense",1
"925","Fusarium_langsethiae",3
"926","Fusarium_lateritium",1
"927","Fusarium_longipes",1
"928","Fusarium_louisianense",1
"929","Fusarium_luffae",1
"930","Fusarium_mangiferae",1
"931","Fusarium_meridionale",1
"933","Fusarium_mesoamericanum",1
"935","Fusarium_mexicanum",1
"936","Fusarium_miscanthi",1
"937","Fusarium_mundagurra",1
"939","Fusarium_nanum",1
"941","Fusarium_nelsonii",1
"942","Fusarium_nematophilum",1
"943","Fusarium_neocosmosporiellum",1
"945","Fusarium_newnesense",1
"946","Fusarium_nisikadoi",1
"947","Fusarium_nodosum",1
"948","Fusarium_nurragi",1
"949","Fusarium_nygamai",1
"950","Fusarium_odoratissimum",1
"951","Fusarium_oxysporum",26
"952","Fusarium_palustre",1
"953","Fusarium_penzigii",1
"954","Fusarium_phaseoli",1
"955","Fusarium_phyllophilum",1
"956","Fusarium_pininemorale",1
"957","Fusarium_poae",31
"958","Fusarium_praegraminearum",1
"959","Fusarium_proliferatum",1
"960","Fusarium_protoensiforme",1
"962","Fusarium_pseudocircinatum",1
"963","Fusarium_pseudograminearum",4
"964","Fusarium_pseudonygamai",1
"965","Fusarium_ramigenum",1
"966","Fusarium_redolens",6
"967","Fusarium_rusci",1
"968","Fusarium_sacchari",3
"969","Fusarium_sambucinum",1
"970","Fusarium_sarcochroum",1
"971","Fusarium_scirpi",1
"972","Fusarium_secorum",1
"973","Fusarium_setosum",1
"974","Fusarium_sibiricum",1
"975","Fusarium_solani",4
"976","Fusarium_sororula",1
"977","Fusarium_sporotrichioides",1
"979","Fusarium_sterilihyphosum",1
"980","Fusarium_stilboides",1
"982","Fusarium_sublunatum",1
"985","Fusarium_tanahbumbuense",1
"986","Fusarium_temperatum",1
"988","Fusarium_tjaetaba",1
"989","Fusarium_torreyae",1
"990","Fusarium_torulosum",1
"991","Fusarium_transvaalense",1
"992","Fusarium_tricinctum",5
"993","Fusarium_tuaranense",1
"994","Fusarium_tucumaniae",1
"995","Fusarium_tupiense",1
"996","Fusarium_udum",1
"997","Fusarium_ussurianum",1
"999","Fusarium_venenatum",139
"1000","Fusarium_ventricosum",1
"1001","Fusarium_verrucosum",1
"1002","Fusarium_verticillioides",8
"1003","Fusarium_veterinarium",1
"1004","Fusarium_virguliforme",4
"1005","Fusarium_vorosii",1
"1006","Fusarium_xylarioides",1
"1007","Fusarium_xyrophilum",1
"1008","Fusarium_zanthoxyli",1
"1009","Fusarium_zealandicum",1
"1011","Galactomyces_reessii",1
"1012","Galerina_marginata",1
"1013","Gamarada_debralockiae",1
"1014","Gamsiella_multidivaricata",1
"1015","Ganoderma_boninense",11
"1016","Ganoderma_lucidum",6
"1017","Ganoderma_multipileum",1
"1020","Gautieria_morchelliformis",4
"1021","Gelatoporia_subvermispora",1
"1023","Geosmithia_flava",1
"1025","Geosmithia_putterillii",1
"1026","Geotrichum_candidum",3
"1028","Gigaspora_margarita",2
"1029","Gigaspora_rosea",2
